"PIN_id","DPN","Image","Ref_Emdep","Ref_Ingun","Ref_Fenmmital","Ref_Ptr","Type","Multi_APN"
"208","35484642","/T-899_305_070_400_150Axx02M_EN_Seite_2.png","","T-899 305 070 400 150 A 1502M","","","",""
"209","35673963","/F731 17B 150 G 150.png","","","F731 17B 150 G 150","","",""
"210","35160611","/F733 16B 1058 G 150 SP1.png","","","F733 16B 1058 G 150 SP1","","",""
"211","10913564","","","","","1021 G-C-1.5N-NI-1.8","",""
"212","10913005","/F731 06B 130 G 150.png","","","F731 06B 130 G 150","","",""
"213","10913024","/F732 11B 1037 G 150 SP.png","F732 11B 1037 G 150 SP","","","","",""
"214","13705103","/F732 16B 1009 G 150 SP.png","","","F732 16B 1009 G 150 SP","","",""
"215","35673964","/F732 16B 1066 G 300 SP1.png","","","F732 16B 1066 G 300 SP1","","",""
"216","13889823","/F732 11B 1006 G 300 SP.png","","","F732 11B 1006 G 300 SP","","",""
"217","13865220","/F732 11B 1003 G 300 SP.png","","","F732 11B 1003 G 300 SP","","",""
"218","13865219","/F732 16B 1015 G 150 SP.png","","","F732 16B 1015 G 150 SP","","",""
"219","35673961","/F07506B120G280L.png","","","F07506B120G280L","","",""
"220","35484632","","","","","","",""
"221","13862372","/F732 16B 1010 G 150 SP.png","","","F732 16B 1010 G 150 SP","","",""
"222","35300717","","","","","","",""
"223","109135564","","","","","","",""
"224","35332380","","","","","","",""
"225","35733965","","","","","","",""
"226","13881722","/F732 16B 1027 G 150 SP.png","","","F732 16B 1027 G 150 SP","","",""
"227","10919304","/F732 11B 0052 G 150 SP.png","","","F732 11B 0052 G 150 SP","","",""
"228","13865217","/F73211B1050G150SP.png","","","F732 11B 1050 G 150 SP","","",""
"229","10913029","/F732 11B 080 G 150.png","","","F732 11B 080 G 150","","",""
"230","35207911","","02P15GD0634","","","1015/G-D1004-3.0N-Au-0,65x3,4/1,5","",""
"231","33310299","/F733 06B 250 G 300.png","02P60GC1","GKS-113 306 250 A 3002 M","F733 06B 250 G 300","1060/G-C-3.0N-Au-2,5","","33310299_35617296_13914385"
"232","10913040","/F732 16B 100 G 150.png","","","F732 16B 100 G 150","","",""
"233","PTCC0650198","","02BO295652","","","","'TIGE'",""
"234","1","","","1","1","1","",""
